type,pos,lemma,freq,range
flabbergasted,,,1,1
flachen,,,1,1
flackern,,,2,1
flackert,,,1,1
flag,,,1,1
flame,,,1,1
flatternden,,,1,1
flatternder,,,1,1
flecht,,,1,1
fleck,,,1,1
flecken,,,2,1
fleckig,,,1,1
fleisch,,,1,1
fleischs,,,1,1
fleur,,,3,1
fliegen,,,2,2
fliegenden,,,1,1
fließen,,,1,1
flog,,,2,1
floralen,,,1,1
floriert,,,1,1
flower,,,1,1
fluch,,,1,1
fluffen,,,1,1
flufft,,,1,1
flur,,,2,1
fluss,,,2,1
flut,,,1,1
fluten,,,2,1
flutschende,,,1,1
fläche,,,1,1
flügel,,,4,2
flüstern,,,3,2
fog,,,1,1
folg,,,1,1
folge,,,1,1
folgt,,,2,1
folgten,,,1,1
folie,,,1,1
folly,,,1,1
food,,,1,1
for,,,13,2
fordere,,,1,1
foreign,,,3,1
foreignness,,,1,1
form,,,3,1
formen,,,4,1
formenschiff,,,1,1
formlosen,,,1,1
forschen,,,1,1
forst,,,1,1
fort,,,4,2
fortgegangen,,,1,1
fortjagte,,,1,1
fotomustertafel,,,1,1
fracht,,,1,1
frack,,,2,1
frag,,,1,1
frage,,,1,1
fragen,,,4,1
fragile,,,1,1
fragliche,,,1,1
fragt,,,3,2
franca,,,1,1
frankfurt,,,1,1
frankreich,,,1,1
fransige,,,1,1
französisch,,,1,1
frau,,,1,1
frauen,,,2,2
frauenrechtlerin,,,1,1
frauenzimmer,,,1,1
frecherchen,,,1,1
fred,,,1,1
frei,,,4,2
freie,,,1,1
freigang,,,1,1
freight,,,1,1
freisprechanlage,,,1,1
freitag,,,1,1
freiwillige,,,2,1
fremd,,,1,1
fremde,,,3,2
fremden,,,1,1
fremdes,,,1,1
fremdheit,,,1,1
french,,,1,1
freud,,,7,2
freude,,,1,1
freudless,,,1,1
freuen,,,1,1
freund,,,4,1
freunde,,,3,1
freundin,,,1,1
friare,,,1,1
friedemann,,,1,1
friederike,,,1,1
friends,,,1,1
frieren,,,1,1
friese,,,1,1
fright,,,1,1
frischen,,,1,1
frisuren,,,1,1
fritz,,,1,1
frohlockende,,,1,1
from,,,1,1
frontier,,,1,1
frorn,,,1,1
froschkehlen,,,1,1
froschsang,,,1,1
froschtrack,,,1,1
frost,,,1,1
früh,,,2,1
frühen,,,2,2
früher,,,1,1
frühling,,,1,1
ft,,,12,1
fuhr,,,1,1
funken,,,1,1
fusselig,,,1,1
futtersprache,,,1,1
fächergaben,,,1,1
fächern,,,1,1
fäden,,,1,1
fälle,,,1,1
fänden,,,1,1
fängt,,,2,1
färbe,,,1,1
fördern,,,1,1
förderung,,,1,1
förmige,,,1,1
fühlen,,,1,1
fühleraugen,,,1,1
fühlt,,,2,1
führen,,,4,2
führn,,,1,1
führt,,,1,1
führten,,,1,1
führung,,,1,1
fülle,,,1,1
füllt,,,1,1
fünf,,,2,2
für,,,60,2
fürwaswörter,,,1,1
fürwörter,,,1,1
fütterte,,,1,1
fütterung,,,2,1
füße,,,1,1
füßen,,,1,1
g,,,17,1
gab,,,3,2
gabe,,,2,1
